,Name,State,Term,Party
6795,"SANDERS, Morgan Gurley",Texas,75th Congress (1937-1939),Democrat
6796,"WEARIN, Otha Donner",Iowa,75th Congress (1937-1939),Democrat
6797,"SMITH, Joseph Luther",West Virginia,75th Congress (1937-1939),Democrat
6798,"COOPER, Jere",Tennessee,75th Congress (1937-1939),Democrat
6799,"HILL, Robert Potter",Oklahoma,75th Congress (1937-1939),Democrat
6800,"VINSON, Frederick Moore",Kentucky,75th Congress (1937-1939),Democrat
6801,"MOUTON, Robert Louis",Louisiana,75th Congress (1937-1939),Democrat
6802,"PHILLIPS, Alfred Noroton",Connecticut,75th Congress (1937-1939),Democrat
6803,"MANSFIELD, Joseph Jefferson",Texas,75th Congress (1937-1939),Democrat
6804,"ZIMMERMAN, Orville",Missouri,75th Congress (1937-1939),Democrat
6805,"GREEVER, Paul Ranous",Wyoming,75th Congress (1937-1939),Democrat
6806,"GRIFFITH, John Keller",Louisiana,75th Congress (1937-1939),Democrat
6807,"REILLY, Michael Kieran",Wisconsin,75th Congress (1937-1939),Democrat
6808,"HARTER, Dow Watters",Ohio,75th Congress (1937-1939),Democrat
6809,"EICHER, Edward Clayton",Iowa,75th Congress (1937-1939),Democrat
6810,"NELSON, William Lester",Missouri,75th Congress (1937-1939),Democrat
6811,"CREAL, Edward Wester",Kentucky,75th Congress (1937-1939),Democrat
6812,"DE ROUEN, René Louis",Louisiana,75th Congress (1937-1939),Democrat
6813,"TOWEY, Frank William, Jr.",New Jersey,75th Congress (1937-1939),Democrat
6814,"GREEN, Robert Alexis (Lex)",Florida,75th Congress (1937-1939),Democrat
6815,"KOCIALKOWSKI, Leo Paul",Illinois,75th Congress (1937-1939),Democrat
6816,"TRANSUE, Andrew Jackson",Michigan,75th Congress (1937-1939),Democrat
6817,"MASSINGALE, Samuel Chapman",Oklahoma,75th Congress (1937-1939),Democrat
6818,"THOMAS, Albert",Texas,75th Congress (1937-1939),Democrat
6819,"SMITH, John Joseph",Connecticut,75th Congress (1937-1939),Democrat
6820,"WALTER, Francis Eugene",Pennsylvania,75th Congress (1937-1939),Democrat
6821,"ALESHIRE, Arthur William",Ohio,75th Congress (1937-1939),Democrat
6822,"JOHNSON, George William",West Virginia,75th Congress (1937-1939),Democrat
6823,"HAMILTON, Norman Rond",Virginia,75th Congress (1937-1939),Democrat
6824,"VINSON, Carl",Georgia,75th Congress (1937-1939),Democrat
6825,"THOMASON, Robert Ewing",Texas,75th Congress (1937-1939),Democrat
6826,"DRIVER, William Joshua",Arkansas,75th Congress (1937-1939),Democrat
6827,"CLAYPOOL, Harold Kile",Ohio,75th Congress (1937-1939),Democrat
6828,"RAMSPECK, Robert C. Word",Georgia,75th Congress (1937-1939),Democrat
6829,"HOUSTON, John Mills",Kansas,75th Congress (1937-1939),Democrat
6830,"PARSONS, Claude VanCleve",Illinois,75th Congress (1937-1939),Democrat
6831,"CHAMPION, Edwin Van Meter",Illinois,75th Congress (1937-1939),Democrat
6832,"SPARKMAN, John Jackson",Alabama,75th Congress (1937-1939),Democrat
6833,"VINCENT, Beverly Mills",Kentucky,75th Congress (1937-1939),Democrat
6834,"JONES, John Marvin",Texas,75th Congress (1937-1939),Democrat
6835,"O'MALLEY, Thomas David Patrick",Wisconsin,75th Congress (1937-1939),Democrat
6836,"GASQUE, Allard Henry",South Carolina,75th Congress (1937-1939),Democrat
6837,"FARLEY, James Indus",Indiana,75th Congress (1937-1939),Democrat
6838,"BULWINKLE, Alfred Lee",North Carolina,75th Congress (1937-1939),Democrat
6839,"THOMPSON, Chester Charles",Illinois,75th Congress (1937-1939),Democrat
6840,"WILCOX, James Mark",Florida,75th Congress (1937-1939),Democrat
6841,"STUBBS, Henry Elbert",California,75th Congress (1937-1939),Democrat
6842,"SUTPHIN, William Halstead",New Jersey,75th Congress (1937-1939),Democrat
6843,"MILLS, Newt Virgus",Louisiana,75th Congress (1937-1939),Democrat
6844,"BROWN, Paul",Georgia,75th Congress (1937-1939),Democrat
6845,"COOLEY, Harold Dunbar",North Carolina,75th Congress (1937-1939),Democrat
6846,"JOHNSON, Luther Alexander",Texas,75th Congress (1937-1939),Democrat
6847,"NICHOLS, John Conover",Oklahoma,75th Congress (1937-1939),Democrat
6848,"KERR, John Hosea",North Carolina,75th Congress (1937-1939),Democrat
6849,"BUCK, Frank Henry",California,75th Congress (1937-1939),Democrat
6850,"SUMNERS, Hatton William",Texas,75th Congress (1937-1939),Democrat
6851,"CARTWRIGHT, Wilburn",Oklahoma,75th Congress (1937-1939),Democrat
6852,"GREENWOOD, Arthur Herbert",Indiana,75th Congress (1937-1939),Democrat
6853,"PETERSON, James Hardin",Florida,75th Congress (1937-1939),Democrat
6854,"WARREN, Lindsay Carter",North Carolina,75th Congress (1937-1939),Democrat
6855,"COLE, William Purington, Jr.",Maryland,75th Congress (1937-1939),Democrat
6856,"ATKINSON, Richard Merrill",Tennessee,75th Congress (1937-1939),Democrat
6857,"KVALE, Paul John",Minnesota,75th Congress (1937-1939),Farmer-Laborer
6858,"MALONEY, Paul Herbert",Louisiana,75th Congress (1937-1939),Democrat
6859,"WHITE, Compton Ignatius",Idaho,75th Congress (1937-1939),Democrat
6860,"JOHNSON, Jed Joseph",Oklahoma,75th Congress (1937-1939),Democrat
6861,"MEEKS, James Andrew",Illinois,75th Congress (1937-1939),Democrat
6862,"SCHAEFER, Edwin Martin",Illinois,75th Congress (1937-1939),Democrat
6863,"HOBBS, Samuel Francis",Alabama,75th Congress (1937-1939),Democrat
6864,"CLARK, Jerome Bayard",North Carolina,75th Congress (1937-1939),Democrat
6865,"CANNON, Clarence Andrew",Missouri,75th Congress (1937-1939),Democrat
6866,"WELCH, Richard Joseph",California,75th Congress (1937-1939),Republican
6867,"BLAND, Schuyler Otis",Virginia,75th Congress (1937-1939),Democrat
6868,"PIERCE, Walter Marcus",Oregon,75th Congress (1937-1939),Democrat
6869,"MAHON, Gabriel Heyward, Jr.",South Carolina,75th Congress (1937-1939),Democrat
6870,"RICHARDS, James Prioleau",South Carolina,75th Congress (1937-1939),Democrat
6871,"BINDERUP, Charles Gustav",Nebraska,75th Congress (1937-1939),Democrat
6872,"PATTON, Nat",Texas,75th Congress (1937-1939),Democrat
6873,"MAHON, George Herman",Texas,75th Congress (1937-1939),Democrat
6874,"MOSIER, Harold Gerard",Ohio,75th Congress (1937-1939),Democrat
6875,"GEHRMANN, Bernard John",Wisconsin,75th Congress (1937-1939),Progressive
6876,"GRAY, Joseph Anthony",Pennsylvania,75th Congress (1937-1939),Democrat
6877,"ROGERS, Will",Oklahoma,75th Congress (1937-1939),Democrat
6878,"EDMISTON, Andrew",West Virginia,75th Congress (1937-1939),Democrat
6879,"ASHBROOK, William Albert",Ohio,75th Congress (1937-1939),Democrat
6880,"TERRY, David Dickson",Arkansas,75th Congress (1937-1939),Democrat
6881,"HANCOCK, Franklin Wills, Jr.",North Carolina,75th Congress (1937-1939),Democrat
6882,"DREWRY, Patrick Henry",Virginia,75th Congress (1937-1939),Democrat
6883,"HARRINGTON, Vincent Francis",Iowa,75th Congress (1937-1939),Democrat
6884,"DOUGHTON, Robert Lee",North Carolina,75th Congress (1937-1939),Democrat
6885,"HENDRICKS, Joseph Edward",Florida,75th Congress (1937-1939),Democrat
6886,"ANDERSON, Charles Arthur",Missouri,75th Congress (1937-1939),Democrat
6887,"WOODRUM, Clifton Alexander",Virginia,75th Congress (1937-1939),Democrat
6888,"CALDWELL, Millard Fillmore",Florida,75th Congress (1937-1939),Democrat
6889,"LEWIS, Lawrence",Colorado,75th Congress (1937-1939),Democrat
6890,"RYAN, Elmer James",Minnesota,75th Congress (1937-1939),Democrat
6891,"DEMPSEY, John Joseph",New Mexico,75th Congress (1937-1939),Democrat
6892,"O'NEAL, Emmet",Kentucky,75th Congress (1937-1939),Democrat
6893,"FULLER, Claude Albert",Arkansas,75th Congress (1937-1939),Democrat
6894,"McMILLAN, Thomas Sanders",South Carolina,75th Congress (1937-1939),Democrat
6895,"BIERMANN, Frederick Elliott",Iowa,75th Congress (1937-1939),Democrat
6896,"BROOKS, Overton",Louisiana,75th Congress (1937-1939),Democrat
6897,"LUDLOW, Louis Leon",Indiana,75th Congress (1937-1939),Democrat
6898,"SAUTHOFF, Harry",Wisconsin,75th Congress (1937-1939),Progressive
6899,"TAYLOR, Edward Thomas",Colorado,75th Congress (1937-1939),Democrat
6900,"CHAPMAN, Virgil Munday",Kentucky,75th Congress (1937-1939),Democrat
6901,"ALLEN, Asa Leonard",Louisiana,75th Congress (1937-1939),Democrat
6902,"GRANT, George McInvale",Alabama,75th Congress (1937-1939),Democrat
6903,"SOUTH, Charles Lacy",Texas,75th Congress (1937-1939),Democrat
6904,"KLOEB, Frank Le Blond",Ohio,75th Congress (1937-1939),Democrat
6905,"POLK, James Gould",Ohio,75th Congress (1937-1939),Democrat
6906,"McLAUGHLIN, Charles Francis",Nebraska,75th Congress (1937-1939),Democrat
6907,"McGROARTY, John Steven",California,75th Congress (1937-1939),Democrat
6908,"BOEHNE, John William, Jr.",Indiana,75th Congress (1937-1939),Democrat
6909,"BOYKIN, Frank William",Alabama,75th Congress (1937-1939),Democrat
6910,"DOXEY, Wall",Mississippi,75th Congress (1937-1939),Democrat
6911,"PACE, Stephen",Georgia,75th Congress (1937-1939),Democrat
6912,"GRAY, Finly Hutchinson",Indiana,75th Congress (1937-1939),Democrat
6913,"COLLINS, Ross Alexander",Mississippi,75th Congress (1937-1939),Democrat
6914,"ALLEN, Robert Gray",Pennsylvania,75th Congress (1937-1939),Democrat
6915,"UMSTEAD, William Bradley",North Carolina,75th Congress (1937-1939),Democrat
6916,"FULMER, Hampton Pitts",South Carolina,75th Congress (1937-1939),Democrat
6917,"McFARLANE, William Doddridge",Texas,75th Congress (1937-1939),Democrat
6918,"STARNES, Joe",Alabama,75th Congress (1937-1939),Democrat
6919,"COSTELLO, John Martin",California,75th Congress (1937-1939),Democrat
6920,"GARRETT, Clyde Leonard",Texas,75th Congress (1937-1939),Democrat
6921,"OWEN, Emmett Marshall",Georgia,75th Congress (1937-1939),Democrat
6922,"TURNER, Clarence Wyly",Tennessee,75th Congress (1937-1939),Democrat
6923,"POAGE, William Robert",Texas,75th Congress (1937-1939),Democrat
6924,"LEA, Clarence Frederick",California,75th Congress (1937-1939),Democrat
6925,"PATTERSON, Edward White",Kansas,75th Congress (1937-1939),Democrat
6926,"MILLER, John Elvis",Arkansas,75th Congress (1937-1939),Democrat
6927,"SECREST, Robert Thompson",Ohio,75th Congress (1937-1939),Democrat
6928,"WHELCHEL, Benjamin Frank",Georgia,75th Congress (1937-1939),Democrat
6929,"LANHAM, Fritz Garland",Texas,75th Congress (1937-1939),Democrat
6930,"LUCKEY, Henry Carl",Nebraska,75th Congress (1937-1939),Democrat
6931,"BURCH, Thomas Granville",Virginia,75th Congress (1937-1939),Democrat
6932,"FADDIS, Charles Isiah",Pennsylvania,75th Congress (1937-1939),Democrat
6933,"SATTERFIELD, Dave Edward, Jr.",Virginia,75th Congress (1937-1939),Democrat
6934,"GRISWOLD, Glenn Hasenfratz",Indiana,75th Congress (1937-1939),Democrat
6935,"KITCHENS, Wade Hampton",Arkansas,75th Congress (1937-1939),Democrat
6936,"BELL, Charles Jasper",Missouri,75th Congress (1937-1939),Democrat
6937,"KNIFFIN, Frank Charles",Ohio,75th Congress (1937-1939),Democrat
6938,"PEARSON, Herron Carney",Tennessee,75th Congress (1937-1939),Democrat
6939,"WHITTINGTON, William Madison",Mississippi,75th Congress (1937-1939),Democrat
6940,"FLETCHER, Thomas Brooks",Ohio,75th Congress (1937-1939),Democrat
6941,"BURDICK, Usher Lloyd",North Dakota,75th Congress (1937-1939),Republican
6942,"MAY, Andrew Jackson",Kentucky,75th Congress (1937-1939),Democrat
6943,"DEEN, Braswell Drue",Georgia,75th Congress (1937-1939),Democrat
6944,"HULL, Merlin",Wisconsin,75th Congress (1937-1939),Progressive
6945,"DISNEY, Wesley Ernest",Oklahoma,75th Congress (1937-1939),Democrat
6946,"BARDEN, Graham Arthur",North Carolina,75th Congress (1937-1939),Democrat
6947,"COX, Edward Eugene",Georgia,75th Congress (1937-1939),Democrat
6948,"TARVER, Malcolm Connor",Georgia,75th Congress (1937-1939),Democrat
6949,"McGEHEE, Daniel Rayford",Mississippi,75th Congress (1937-1939),Democrat
6950,"LAMBETH, John Walter",North Carolina,75th Congress (1937-1939),Democrat
6951,"BOREN, Lyle H.",Oklahoma,75th Congress (1937-1939),Democrat
6952,"ELLIOTT, Alfred James",California,75th Congress (1937-1939),Democrat
6953,"MITCHELL, John Ridley",Tennessee,75th Congress (1937-1939),Democrat
6954,"DIES, Martin, Jr.",Texas,75th Congress (1937-1939),Democrat
6955,"OLIVER, James Churchill",Maine,75th Congress (1937-1939),Republican
6956,"PETERSON, Hugh",Georgia,75th Congress (1937-1939),Democrat
6957,"RANKIN, John Elliott",Mississippi,75th Congress (1937-1939),Democrat
6958,"CLARK, David Worth",Idaho,75th Congress (1937-1939),Democrat
6959,"McCLELLAN, John Little",Arkansas,75th Congress (1937-1939),Democrat
6960,"LAMNECK, Arthur Philip",Ohio,75th Congress (1937-1939),Democrat
6961,"FORD, Aaron Lane",Mississippi,75th Congress (1937-1939),Democrat
6962,"PETTENGILL, Samuel Barrett",Indiana,75th Congress (1937-1939),Democrat
6963,"KLEBERG, Richard Mifflin, Sr.",Texas,75th Congress (1937-1939),Democrat
6964,"LEMKE, William",North Dakota,75th Congress (1937-1939),Republican
6965,"WITHROW, Gardner Robert",Wisconsin,75th Congress (1937-1939),Progressive
6966,"WOLVERTON, Charles Anderson",New Jersey,75th Congress (1937-1939),Republican
6967,"SMITH, Howard Worth",Virginia,75th Congress (1937-1939),Democrat
6968,"WEST, Milton Horace",Texas,75th Congress (1937-1939),Democrat
6969,"MOSER, Guy Louis",Pennsylvania,75th Congress (1937-1939),Democrat
6970,"COLMER, William Meyers",Mississippi,75th Congress (1937-1939),Democrat
6971,"TOBEY, Charles William",New Hampshire,75th Congress (1937-1939),Republican
6972,"ROBERTSON, Absalom Willis",Virginia,75th Congress (1937-1939),Democrat
6973,"COFFEE, Harry Buffington",Nebraska,75th Congress (1937-1939),Democrat
6974,"SCHNEIDER, George John",Wisconsin,75th Congress (1937-1939),Progressive
6975,"TAYLOR, John Clarence",South Carolina,75th Congress (1937-1939),Democrat
6976,"GEARHART, Bertrand Wesley",California,75th Congress (1937-1939),Republican
6977,"ROGERS, Edith Nourse",Massachusetts,75th Congress (1937-1939),Republican
6978,"ENGLEBRIGHT, Harry Lane",California,75th Congress (1937-1939),Republican
6979,"MOTT, James Wheaton",Oregon,75th Congress (1937-1939),Republican
6980,"CARTER, Albert Edward",California,75th Congress (1937-1939),Republican
6981,"POWERS, David Lane",New Jersey,75th Congress (1937-1939),Republican
6982,"MAAS, Melvin Joseph",Minnesota,75th Congress (1937-1939),Republican
6983,"BARTON, Bruce",New York,75th Congress (1937-1939),Republican
6984,"SMITH, Clyde Harold",Maine,75th Congress (1937-1939),Republican
6985,"HARTLEY, Fred Allan, Jr.",New Jersey,75th Congress (1937-1939),Republican
6986,"SEGER, George Nicholas",New Jersey,75th Congress (1937-1939),Republican
6987,"JENKS, Arthur Byron",New Hampshire,75th Congress (1937-1939),Republican
6988,"MARTIN, Joseph William, Jr.",Massachusetts,75th Congress (1937-1939),Republican
6989,"CLASON, Charles Russell",Massachusetts,75th Congress (1937-1939),Republican
6990,"STEFAN, Karl",Nebraska,75th Congress (1937-1939),Republican
6991,"BATES, George Joseph",Massachusetts,75th Congress (1937-1939),Republican
6992,"GILCHRIST, Fred Cramer",Iowa,75th Congress (1937-1939),Republican
6993,"HOPE, Clifford Ragsdale",Kansas,75th Congress (1937-1939),Republican
6994,"CARLSON, Frank",Kansas,75th Congress (1937-1939),Republican
6995,"ENGEL, Albert Joseph",Michigan,75th Congress (1937-1939),Republican
6996,"CASE, Francis Higbee",South Dakota,75th Congress (1937-1939),Republican
6997,"GAMBLE, Ralph Abernethy",New York,75th Congress (1937-1939),Republican
6998,"ANDREWS, Walter Gresham",New York,75th Congress (1937-1939),Republican
6999,"REECE, Brazilla Carroll",Tennessee,75th Congress (1937-1939),Republican
7000,"TAYLOR, James Willis",Tennessee,75th Congress (1937-1939),Republican
7001,"FISH, Hamilton",New York,75th Congress (1937-1939),Republican
7002,"EATON, Charles Aubrey",New Jersey,75th Congress (1937-1939),Republican
7003,"WIGGLESWORTH, Richard Bowditch",Massachusetts,75th Congress (1937-1939),Republican
7004,"BREWSTER, Ralph Owen",Maine,75th Congress (1937-1939),Republican
7005,"HALLECK, Charles Abraham",Indiana,75th Congress (1937-1939),Republican
7006,"PLUMLEY, Charles Albert",Vermont,75th Congress (1937-1939),Republican
7007,"THOMAS, John Parnell",New Jersey,75th Congress (1937-1939),Republican
7008,"HOLMES, Pehr Gustaf",Massachusetts,75th Congress (1937-1939),Republican
7009,"ROBSION, John Marshall",Kentucky,75th Congress (1937-1939),Republican
7010,"COLE, William Sterling",New York,75th Congress (1937-1939),Republican
7011,"ARENDS, Leslie Cornelius",Illinois,75th Congress (1937-1939),Republican
7012,"MICHENER, Earl Cory",Michigan,75th Congress (1937-1939),Republican
7013,"GIFFORD, Charles Laceille",Massachusetts,75th Congress (1937-1939),Republican
7014,"DIRKSEN, Everett McKinley",Illinois,75th Congress (1937-1939),Republican
7015,"ANDRESEN, August Herman",Minnesota,75th Congress (1937-1939),Republican
7016,"CULKIN, Francis Dugan",New York,75th Congress (1937-1939),Republican
7017,"WOLCOTT, Jesse Paine",Michigan,75th Congress (1937-1939),Republican
7018,"DOWELL, Cassius Clay",Iowa,75th Congress (1937-1939),Republican
7019,"GUYER, Ulysses Samuel",Kansas,75th Congress (1937-1939),Republican
7020,"GWYNNE, John Williams",Iowa,75th Congress (1937-1939),Republican
7021,"WHITE, Dudley Allen",Ohio,75th Congress (1937-1939),Republican
7022,"DONDERO, George Anthony",Michigan,75th Congress (1937-1939),Republican
7023,"DOUGLAS, Fred James",New York,75th Congress (1937-1939),Republican
7024,"CLUETT, Ernest Harold",New York,75th Congress (1937-1939),Republican
7025,"WOODRUFF, Roy Orchard",Michigan,75th Congress (1937-1939),Republican
7026,"REES, Edward Herbert",Kansas,75th Congress (1937-1939),Republican
7027,"McLEAN, Donald Holman",New Jersey,75th Congress (1937-1939),Republican
7028,"FOCHT, Benjamin Kurtz",Pennsylvania,75th Congress (1937-1939),Republican
7029,"HANCOCK, Clarence Eugene",New York,75th Congress (1937-1939),Republican
7030,"MAPES, Carl Edgar",Michigan,75th Congress (1937-1939),Republican
7031,"WOLFENDEN, James",Pennsylvania,75th Congress (1937-1939),Republican
7032,"LAMBERTSON, William Purnell",Kansas,75th Congress (1937-1939),Republican
7033,"JENKINS, Thomas Albert",Ohio,75th Congress (1937-1939),Republican
7034,"REED, Chauncey William",Illinois,75th Congress (1937-1939),Republican
7035,"ALLEN, Leo Elwood",Illinois,75th Congress (1937-1939),Republican
7036,"SIMPSON, Richard Murray",Pennsylvania,75th Congress (1937-1939),Republican
7037,"DITTER, John William",Pennsylvania,75th Congress (1937-1939),Republican
7038,"THURSTON, Lloyd",Iowa,75th Congress (1937-1939),Republican
7039,"CROWTHER, Frank",New York,75th Congress (1937-1939),Republican
7040,"MILLARD, Charles Dunsmore",New York,75th Congress (1937-1939),Republican
7041,"CHURCH, Ralph Edwin",Illinois,75th Congress (1937-1939),Republican
7042,"TREADWAY, Allen Towner",Massachusetts,75th Congress (1937-1939),Republican
7043,"KINZER, John Roland",Pennsylvania,75th Congress (1937-1939),Republican
7044,"KNUTSON, Harold",Minnesota,75th Congress (1937-1939),Republican
7045,"LORD, Bert",New York,75th Congress (1937-1939),Republican
7046,"BACON, Robert Low",New York,75th Congress (1937-1939),Republican
7047,"RUTHERFORD, Albert Greig",Pennsylvania,75th Congress (1937-1939),Republican
7048,"JARRETT, Benjamin",Pennsylvania,75th Congress (1937-1939),Republican
7049,"WADSWORTH, James Wolcott, Jr.",New York,75th Congress (1937-1939),Republican
7050,"CRAWFORD, Fred Lewis",Michigan,75th Congress (1937-1939),Republican
7051,"SHORT, Dewey Jackson",Missouri,75th Congress (1937-1939),Republican
7052,"SHAFER, Paul Werntz",Michigan,75th Congress (1937-1939),Republican
7053,"TINKHAM, George Holden",Massachusetts,75th Congress (1937-1939),Republican
7054,"GOODWIN, Philip Arnold",New York,75th Congress (1937-1939),Republican
7055,"ROCKEFELLER, Lewis Kirby",New York,75th Congress (1937-1939),Republican
7056,"SNELL, Bertrand Hollis",New York,75th Congress (1937-1939),Republican
7057,"REED, Daniel Alden",New York,75th Congress (1937-1939),Republican
7058,"LUCE, Robert",Massachusetts,75th Congress (1937-1939),Republican
7059,"TABER, John",New York,75th Congress (1937-1939),Republican
7060,"MASON, Noah Morgan",Illinois,75th Congress (1937-1939),Republican
7061,"RICH, Robert Fleming",Pennsylvania,75th Congress (1937-1939),Republican
7062,"HOFFMAN, Clare Eugene",Michigan,75th Congress (1937-1939),Republican
7063,"GASQUE, Elizabeth Hawley",South Carolina,75th Congress (1937-1939),Democrat
7064,"SMITH, Gomer Griffith",Oklahoma,75th Congress (1937-1939),Democrat
7065,"ALBAUGH, Walter Hugh",Ohio,75th Congress (1937-1939),Republican
7066,"ROY, Alphonse",New Hampshire,75th Congress (1937-1939),Democrat
7067,"EDELSTEIN, Morris Michael",New York,76th Congress (1939-1941),Democrat
7068,"FORD, Thomas Francis",California,76th Congress (1939-1941),Democrat
7069,"O'DAY, Caroline Love Goodwin",New York,76th Congress (1939-1941),Democrat
7070,"HOOK, Frank Eugene",Michigan,76th Congress (1939-1941),Democrat
7071,"CURLEY, Edward Walter",New York,76th Congress (1939-1941),Democrat
7072,"SACKS, Leon",Pennsylvania,76th Congress (1939-1941),Democrat
7073,"McGRANERY, James Patrick",Pennsylvania,76th Congress (1939-1941),Democrat
7074,"SIROVICH, William Irving",New York,76th Congress (1939-1941),Democrat
7075,"SULLIVAN, Christopher Daniel",New York,76th Congress (1939-1941),Democrat
7076,"GEYER, Lee Edward",California,76th Congress (1939-1941),Democrat
7077,"DICKSTEIN, Samuel",New York,76th Congress (1939-1941),Democrat
7078,"BOLAND, Patrick Joseph",Pennsylvania,76th Congress (1939-1941),Democrat
7079,"DALY, John Burrwood",Pennsylvania,76th Congress (1939-1941),Democrat
7080,"FITZPATRICK, James Martin",New York,76th Congress (1939-1941),Democrat
7081,"DELANEY, John Joseph",New York,76th Congress (1939-1941),Democrat
7082,"NORTON, Mary Teresa",New Jersey,76th Congress (1939-1941),Democrat
7083,"CULLEN, Thomas Henry",New York,76th Congress (1939-1941),Democrat
7084,"BUCKLEY, Charles Anthony",New York,76th Congress (1939-1941),Democrat
7085,"GAVAGAN, Joseph Andrew",New York,76th Congress (1939-1941),Democrat
7086,"CASEY, Joseph Edward",Massachusetts,76th Congress (1939-1941),Democrat
7087,"COFFEE, John Main",Washington,76th Congress (1939-1941),Democrat
7088,"KENNEDY, Michael Joseph",New York,76th Congress (1939-1941),Democrat
7089,"BRADLEY, Michael Joseph",Pennsylvania,76th Congress (1939-1941),Democrat
7090,"SABATH, Adolph Joachim",Illinois,76th Congress (1939-1941),Democrat
7091,"BLOOM, Sol",New York,76th Congress (1939-1941),Democrat
7092,"IZAC, Edouard Victor Michel",California,76th Congress (1939-1941),Democrat
7093,"McKEOUGH, Raymond Stephen",Illinois,76th Congress (1939-1941),Democrat
7094,"CELLER, Emanuel",New York,76th Congress (1939-1941),Democrat
7095,"SOMERS, Andrew Lawrence",New York,76th Congress (1939-1941),Democrat
7096,"FAY, James Herbert",New York,76th Congress (1939-1941),Democrat
7097,"HAVENNER, Franck Roberts",California,76th Congress (1939-1941),Democrat
7098,"PFEIFER, Joseph Lawrence",New York,76th Congress (1939-1941),Democrat
7099,"TENEROWICZ, Rudolph Gabriel",Michigan,76th Congress (1939-1941),Democrat
7100,"MYERS, Francis John",Pennsylvania,76th Congress (1939-1941),Democrat
7101,"BYRNE, William Thomas",New York,76th Congress (1939-1941),Democrat
7102,"O'TOOLE, Donald Lawrence",New York,76th Congress (1939-1941),Democrat
7103,"SHERIDAN, John Edward",Pennsylvania,76th Congress (1939-1941),Democrat
7104,"KEOGH, Eugene James",New York,76th Congress (1939-1941),Democrat
7105,"LYNCH, Walter Aloysius",New York,76th Congress (1939-1941),Democrat
7106,"WALLGREN, Monrad Charles",Washington,76th Congress (1939-1941),Democrat
7107,"FLAHERTY, Thomas Aloysius",Massachusetts,76th Congress (1939-1941),Democrat
7108,"DUNN, Matthew Anthony",Pennsylvania,76th Congress (1939-1941),Democrat
7109,"KEFAUVER, Carey Estes",Tennessee,76th Congress (1939-1941),Democrat
7110,"SCHULTE, William Theodore",Indiana,76th Congress (1939-1941),Democrat
7111,"O'LEARY, James Aloysius",New York,76th Congress (1939-1941),Democrat
7112,"McARDLE, Joseph A.",Pennsylvania,76th Congress (1939-1941),Democrat
7113,"EBERHARTER, Herman Peter",Pennsylvania,76th Congress (1939-1941),Democrat
7114,"DINGELL, John David",Michigan,76th Congress (1939-1941),Democrat
7115,"MERRITT, Matthew Joseph",New York,76th Congress (1939-1941),Democrat
7116,"MARCANTONIO, Vito Anthony",New York,76th Congress (1939-1941),American Laborer
7117,"KELLER, Kent Ellsworth",Illinois,76th Congress (1939-1941),Democrat
7118,"FRIES, Frank William",Illinois,76th Congress (1939-1941),Democrat
7119,"LESINSKI, John",Michigan,76th Congress (1939-1941),Democrat
7120,"PATMAN, John William Wright",Texas,76th Congress (1939-1941),Democrat
7121,"RAYBURN, Samuel Taliaferro",Texas,76th Congress (1939-1941),Democrat
7122,"HILL, Knute",Washington,76th Congress (1939-1941),Democrat
7123,"SHANLEY, James Andrew",Connecticut,76th Congress (1939-1941),Democrat
7124,"KENNEDY, Martin John",New York,76th Congress (1939-1941),Democrat
7125,"SMITH, Thomas Vernor",Illinois,76th Congress (1939-1941),Democrat
7126,"HEALEY, Arthur Daniel",Massachusetts,76th Congress (1939-1941),Democrat
7127,"KEE, John",West Virginia,76th Congress (1939-1941),Democrat
7128,"KIRWAN, Michael Joseph",Ohio,76th Congress (1939-1941),Democrat
7129,"BEAM, Harry Peter",Illinois,76th Congress (1939-1941),Democrat
7130,"SWEENEY, Martin Leonard",Ohio,76th Congress (1939-1941),Democrat
7131,"PATRICK, Luther",Alabama,76th Congress (1939-1941),Democrat
7132,"SNYDER, John Buell",Pennsylvania,76th Congress (1939-1941),Democrat
7133,"SCHWERT, Pius Louis",New York,76th Congress (1939-1941),Democrat
7134,"KENNEDY, Ambrose Jerome",Maryland,76th Congress (1939-1941),Democrat
7135,"SMITH, Martin Fernard",Washington,76th Congress (1939-1941),Democrat
7136,"CONNERY, Lawrence Joseph",Massachusetts,76th Congress (1939-1941),Democrat
7137,"HENNINGS, Thomas Carey, Jr.",Missouri,76th Congress (1939-1941),Democrat
7138,"RABAUT, Louis Charles",Michigan,76th Congress (1939-1941),Democrat
7139,"MURDOCK, Orrice Abram, Jr. (Abe)",Utah,76th Congress (1939-1941),Democrat
7140,"SPENCE, Brent",Kentucky,76th Congress (1939-1941),Democrat
7141,"ELLIS, Clyde Taylor",Arkansas,76th Congress (1939-1941),Democrat
7142,"LEAVY, Charles Henry",Washington,76th Congress (1939-1941),Democrat
7143,"EVANS, Marcellus Hugh",New York,76th Congress (1939-1941),Democrat
7144,"O'CONNOR, James Francis",Montana,76th Congress (1939-1941),Democrat
7145,"ROBINSON, James William",Utah,76th Congress (1939-1941),Democrat
7146,"MACIEJEWSKI, Anton Frank",Illinois,76th Congress (1939-1941),Democrat
7147,"DUNCAN, Richard Meloan",Missouri,76th Congress (1939-1941),Democrat
7148,"FLANNERY, John Harold",Pennsylvania,76th Congress (1939-1941),Democrat
